tanggal,kode,nama,jumlah,harga,area
10-04-2020,Item-11,Sabun Cuci Piring,3,14000,MGL
10-04-2020,Item-11,Sabun Cuci Piring,3,14000,MGL
10-04-2020,Item-11,Sabun Cuci Piring,2,14000,MGL
10-04-2020,Item-03,Gula Pasir Putih 1 kg,2,12500,MGL
10-04-2020,Item-11,Sabun Cuci Piring,3,14000,MGL
10-04-2020,Item-11,Sabun Cuci Piring,4,14000,MGL
19-04-2020,Item-26,Susu Bubuk 195g,7,45000,MGL
11-04-2020,Item-11,Sabun Cuci Piring,2,14000,MGL
11-04-2020,Item-11,Sabun Cuci Piring,3,14000,MGL
11-04-2020,Item-16,Balsem Putih 20 gram,1,22300,MGL
11-04-2020,Item-11,Sabun Cuci Piring,4,14000,MGL
11-04-2020,Item-16,Balsem Putih 20 gram,1,22300,MGL
19-04-2020,Item-26,Susu Bubuk 195g,14,45000,MGL
11-04-2020,,Sabun Cuci Piring,,14000,MGL
10-04-2020,Item-03,Gula Pasir Putih 1 kg,3,12500,MGL
11-04-2020,Item-11,Sabun Cuci Piring,2,14000,MGL
11-04-2020,Item-17,Obat Batuk,3,5000,MGL
11-04-2020,Item-03,Gula Pasir Putih 1 kg,2,12500,MGL
11-04-2020,Item-11,Sabun Cuci Piring,3,14000,MGL
11-04-2020,Item-16,Balsem Putih 20 gram,4,22300,MGL
11-04-2020,Item-03,Gula Pasir Putih 1 kg,2,12500,MGL
11-04-2020,Item-11,Sabun Cuci Piring,2,14000,MGL
11-04-2020,Item-16,Balsem Putih 20 gram,2,22300,MGL
11-04-2020,Item-03,Gula Pasir Putih 1 kg,1,12500,MGL
20-04-2020,Item-26,Susu Bubuk 195g,1,45000,MGL
11-04-2020,Item-11,Sabun Cuci Piring,4,14000,MGL
11-04-2020,Item-03,Gula Pasir Putih 1 kg,2,12500,MGL
12-04-2020,Item-03,Gula Pasir Putih 1 kg,2,12500,MGL
13-04-2020,Item-03,Gula Pasir Putih 1 kg,3,12500,MGL
13-04-2020,Item-03,Gula Pasir Putih 1 kg,3,12500,MGL
13-04-2020,Item-03,Gula Pasir Putih 1 kg,3,12500,MGL
12-04-2020,Item-11,Sabun Cuci Piring,3,14000,MGL
13-04-2020,Item-13,Pisau Cukur,1,6500,MGL
13-04-2020,Item-14,Teh Celup Melati,4,7800,MGL
13-04-2020,Item-13,Pisau Cukur,1,6500,MGL
13-04-2020,Item-14,Teh Celup Melati,4,7800,MGL
13-04-2020,Item-14,Teh Celup Melati,5,7800,MGL
13-04-2020,Item-14,Teh Celup Melati,10,7800,MGL
13-04-2020,Item-14,Teh Celup Melati,7,7800,MGL
13-04-2020,Item-14,Teh Celup Melati,5,7800,MGL
13-04-2020,Item-11,Sabun Cuci Piring,2,14000,MGL
14-04-2020,Item-03,Gula Pasir Putih 1 kg,2,12500,MGL
13-04-2020,Item-11,Sabun Cuci Piring,2,14000,MGL
13-04-2020,Item-13,Pisau Cukur,1,6500,MGL
13-04-2020,Item-14,Teh Celup Melati,3,7800,MGL
13-04-2020,Item-11,Sabun Cuci Piring,3,14000,MGL
13-04-2020,Item-13,Pisau Cukur,1,6500,MGL
14-04-2020,Item-03,Gula Pasir Putih 1 kg,1,12500,MGL
13-04-2020,Item-11,Sabun Cuci Piring,2,14000,MGL
13-04-2020,Item-14,Teh Celup Melati,1,7800,MGL
13-04-2020,Item-11,Sabun Cuci Piring,3,14000,MGL
13-04-2020,Item-13,Pisau Cukur,2,6500,MGL
14-04-2020,Item-03,Gula Pasir Putih 1 kg,4,12500,MGL
13-04-2020,Item-11,Sabun Cuci Piring,2,14000,MGL
13-04-2020,Item-13,Pisau Cukur,3,6500,MGL
13-04-2020,Item-14,Teh Celup Melati,3,7800,MGL
14-04-2020,Item-03,Gula Pasir Putih 1 kg,2,12500,MGL
14-04-2020,Item-14,Teh Celup Melati,4,7800,MGL
14-04-2020,Item-14,Teh Celup Melati,1,7800,MGL
20-04-2020,Item-03,Gula Pasir Putih 1 kg,2,12500,MGL
20-04-2020,Item-03,Gula Pasir Putih 1 kg,1,12500,MGL
14-04-2020,Item-14,Teh Celup Melati,1,7800,MGL
21-04-2020,Item-03,Gula Pasir Putih 1 kg,1,12500,MGL
21-04-2020,Item-03,Gula Pasir Putih 1 kg,2,12500,MGL
14-04-2020,Item-14,Teh Celup Melati,1,7800,MGL
21-04-2020,Item-03,Gula Pasir Putih 1 kg,3,12500,MGL
14-04-2020,Item-14,Teh Celup Melati,1,7800,MGL
14-04-2020,Item-11,Sabun Cuci Piring,4,14000,MGL
14-04-2020,Item-06,Sabun Mandi Cair 100 ml,2,10500,MGL
14-04-2020,Item-06,Sabun Mandi Cair 100 ml,2,10500,MGL
16-05-2020,Item-21,Shampoo Sachet,3,1000,MGL
16-05-2020,Item-21,Shampoo Sachet,2,1000,MGL
10-04-2020,Item-05,Mi Goreng Instant,2,2600,MGL
10-04-2020,Item-05,Mi Goreng Instant,2,2600,MGL
11-04-2020,Item-05,Mi Goreng Instant,2,2600,MGL
11-04-2020,Item-05,Mi Goreng Instant,1,2600,MGL
11-04-2020,Item-05,Mi Goreng Instant,3,2600,MGL
11-04-2020,Item-05,Mi Goreng Instant,1,2600,MGL
11-04-2020,Item-05,Mi Goreng Instant,1,2600,MGL
11-04-2020,,,4,,MGL
14-04-2020,Item-06,Sabun Mandi Cair 100 ml,2,10500,MGL
14-04-2020,Item-06,Sabun Mandi Cair 100 ml,1,10500,MGL
14-05-2020,Item-04,Kopi Instant,1,5200,MGL
12-04-2020,Item-08,Vitamin C,4,2000,MGL
12-04-2020,Item-08,Vitamin C,4,2000,MGL
12-04-2020,Item-08,Vitamin C,2,2000,MGL
12-04-2020,Item-08,Vitamin C,3,2000,MGL
12-04-2020,Item-08,Vitamin C,4,2000,MGL
13-04-2020,Item-08,Vitamin C,1,2000,MGL
13-04-2020,Item-08,Vitamin C,4,2000,MGL
13-04-2020,Item-08,Vitamin C,4,2000,MGL
13-04-2020,Item-08,Vitamin C,1,2000,MGL
19-04-2020,Item-08,Vitamin C,1,2000,MGL
12-04-2020,Item-09,Roti Tawar,3,12500,MGL
12-04-2020,Item-09,Roti Tawar,2,12500,MGL
12-04-2020,Item-09,Roti Tawar,4,12500,MGL
12-04-2020,Item-09,Roti Tawar,2,12500,MGL
12-04-2020,Item-09,Roti Tawar,1,12500,MGL
17-05-2020,Item-21,Shampoo Sachet,1,1000,MGL
17-05-2020,Item-21,Shampoo Sachet,4,1000,MGL
17-05-2020,Item-21,Shampoo Sachet,1,1000,MGL
17-05-2020,Item-21,Shampoo Sachet,2,1000,MGL
18-05-2020,Item-21,Shampoo Sachet,4,1000,MGL
18-05-2020,Item-21,Shampoo Sachet,4,1000,MGL
19-05-2020,Item-21,Shampoo Sachet,1,1000,MGL
19-05-2020,Item-21,Shampoo Sachet,2,1000,MGL
21-05-2020,Item-21,Shampoo Sachet,4,1000,MGL
21-05-2020,Item-21,Shampoo Sachet,3,1000,MGL
23-05-2020,Item-21,Shampoo Sachet,1,1000,MGL
14-04-2020,Item-14,Teh Celup Melati,1,7800,MGL
14-04-2020,Item-13,Pisau Cukur,4,6500,MGL
14-04-2020,Item-11,Sabun Cuci Piring,2,14000,MGL
14-04-2020,Item-14,Teh Celup Melati,3,7800,MGL
14-04-2020,Item-14,Teh Celup Melati,2,7800,MGL
14-04-2020,Item-14,Teh Celup Melati,4,7800,MGL
14-04-2020,Item-13,Pisau Cukur,4,6500,MGL
14-04-2020,Item-03,Gula Pasir Putih 1 kg,4,12500,MGL
14-04-2020,Item-14,Teh Celup Melati,4,7800,MGL
14-04-2020,Item-14,Teh Celup Melati,1,7800,MGL
,Item-03,,3,,MGL
15-04-2020,Item-03,Gula Pasir Putih 1 kg,2,12500,MGL
15-04-2020,Item-03,Gula Pasir Putih 1 kg,4,12500,MGL
16-04-2020,Item-03,Gula Pasir Putih 1 kg,4,12500,MGL
15-04-2020,Item-10,Biskuit Waver Kaleng,4,24000,MGL
15-04-2020,Item-10,Biskuit Waver Kaleng,1,24000,MGL
15-04-2020,Item-10,Biskuit Waver Kaleng,4,24000,MGL
15-04-2020,Item-09,Roti Tawar,3,12500,MGL
15-04-2020,Item-10,Biskuit Waver Kaleng,1,24000,MGL
16-04-2020,Item-03,Gula Pasir Putih 1 kg,4,12500,MGL
16-04-2020,Item-10,Biskuit Waver Kaleng,3,24000,MGL
16-04-2020,Item-10,Biskuit Waver Kaleng,2,24000,MGL
16-04-2020,Item-03,Gula Pasir Putih 1 kg,3,12500,MGL
16-04-2020,Item-10,Biskuit Waver Kaleng,4,24000,MGL
15-04-2020,Item-09,Roti Tawar,2,12500,MGL
16-04-2020,Item-03,Gula Pasir Putih 1 kg,2,12500,MGL
16-04-2020,Item-03,Gula Pasir Putih 1 kg,2,12500,MGL
15-04-2020,Item-09,Roti Tawar,2,12500,MGL
16-04-2020,Item-03,Gula Pasir Putih 1 kg,2,12500,MGL
15-04-2020,Item-09,Roti Tawar,1,12500,MGL
16-04-2020,Item-03,Gula Pasir Putih 1 kg,2,12500,MGL
15-04-2020,Item-09,Roti Tawar,2,12500,MGL
17-04-2020,Item-03,Gula Pasir Putih 1 kg,3,12500,MGL
14-05-2020,Item-20,Pampers Bayi Size M,1,41000,MGL
17-04-2020,Item-03,Gula Pasir Putih 1 kg,1,12500,MGL
16-04-2020,Item-10,Biskuit Waver Kaleng,4,24000,MGL
17-04-2020,Item-03,Gula Pasir Putih 1 kg,2,12500,MGL
16-04-2020,Item-20,Pampers Bayi Size M,4,41000,MGL
17-04-2020,Item-10,Biskuit Waver Kaleng,4,24000,MGL
17-04-2020,Item-11,Sabun Cuci Piring,1,14000,MGL
17-04-2020,Item-17,Obat Batuk,2,5000,MGL
17-04-2020,Item-10,Biskuit Waver Kaleng,3,24000,MGL
17-04-2020,Item-10,Biskuit Waver Kaleng,3,24000,MGL
14-04-2020,Item-06,Sabun Mandi Cair 100 ml,4,10500,MGL
17-04-2020,Item-10,Biskuit Waver Kaleng,1,24000,MGL
,Item-11,,4,,MGL
14-04-2020,Item-06,Sabun Mandi Cair 100 ml,3,10500,MGL
17-04-2020,Item-10,Biskuit Waver Kaleng,2,24000,MGL
17-04-2020,Item-11,Sabun Cuci Piring,2,14000,MGL
17-04-2020,Item-10,Biskuit Waver Kaleng,3,24000,MGL
17-04-2020,Item-11,Sabun Cuci Piring,4,14000,MGL
17-04-2020,Item-10,Biskuit Waver Kaleng,3,24000,MGL
17-04-2020,Item-11,Sabun Cuci Piring,4,14000,MGL
17-04-2020,Item-10,Biskuit Waver Kaleng,2,24000,MGL
17-04-2020,Item-11,Sabun Cuci Piring,4,14000,MGL
20-04-2020,Item-26,Susu Bubuk 195g,19,45000,MGL
20-04-2020,Item-26,Susu Bubuk 195g,10,45000,MGL
21-04-2020,Item-26,Susu Bubuk 195g,4,45000,MGL
22-04-2020,Item-26,Susu Bubuk 195g,16,45000,MGL
,Item-27,,,,MGL
14-04-2020,Item-05,Mi Goreng Instant,4,2600,MGL
14-04-2020,Item-05,Mi Goreng Instant,2,2600,MGL
14-04-2020,Item-05,Mi Goreng Instant,3,2600,MGL
14-04-2020,Item-05,Mi Goreng Instant,4,2600,MGL
14-04-2020,Item-05,Mi Goreng Instant,4,2600,MGL
14-04-2020,Item-06,Sabun Mandi Cair 100 ml,1,10500,MGL
14-04-2020,Item-06,Sabun Mandi Cair 100 ml,4,10500,MGL
14-04-2020,Item-06,Sabun Mandi Cair 100 ml,4,10500,MGL
14-04-2020,Item-06,Sabun Mandi Cair 100 ml,2,10500,MGL
14-04-2020,Item-06,Sabun Mandi Cair 100 ml,2,10500,MGL
15-04-2020,Item-06,Sabun Mandi Cair 100 ml,4,10500,MGL
15-04-2020,Item-06,Sabun Mandi Cair 100 ml,1,10500,MGL
15-04-2020,Item-06,Sabun Mandi Cair 100 ml,3,10500,MGL
15-04-2020,Item-06,Sabun Mandi Cair 100 ml,4,10500,MGL
15-04-2020,Item-06,Sabun Mandi Cair 100 ml,4,10500,MGL
