tanggal,kode,nama,jumlah,harga,area
10-04-2020,Item-11,Sabun Cuci Piring,3,14000,YK
10-04-2020,Item-11,Sabun Cuci Piring,3,14000,YK
10-04-2020,Item-11,Sabun Cuci Piring,2,14000,YK
10-04-2020,Item-03,Gula Pasir Putih 1 kg,2,12500,YK
10-04-2020,Item-11,Sabun Cuci Piring,3,14000,YK
10-04-2020,Item-11,Sabun Cuci Piring,4,14000,YK
19-04-2020,Item-26,Susu Bubuk 195g,7,45000,YK
11-04-2020,Item-11,Sabun Cuci Piring,2,14000,YK
11-04-2020,Item-11,Sabun Cuci Piring,3,14000,YK
11-04-2020,Item-16,Balsem Putih 20 gram,1,22300,YK
11-04-2020,Item-11,Sabun Cuci Piring,4,14000,YK
11-04-2020,Item-16,Balsem Putih 20 gram,1,22300,YK
19-04-2020,Item-26,Susu Bubuk 195g,14,45000,YK
10-04-2020,Item-03,Gula Pasir Putih 1 kg,3,12500,YK
11-04-2020,Item-11,Sabun Cuci Piring,2,14000,YK
11-04-2020,Item-17,Obat Batuk,3,5000,YK
11-04-2020,Item-03,Gula Pasir Putih 1 kg,2,12500,YK
11-04-2020,Item-16,Balsem Putih 20 gram,4,22300,YK
11-04-2020,Item-03,Gula Pasir Putih 1 kg,2,12500,YK
11-04-2020,Item-11,Sabun Cuci Piring,2,14000,YK
11-04-2020,Item-16,Balsem Putih 20 gram,2,22300,YK
11-04-2020,Item-03,Gula Pasir Putih 1 kg,1,12500,YK
20-04-2020,Item-26,Susu Bubuk 195g,1,45000,YK
11-04-2020,Item-11,Sabun Cuci Piring,4,14000,YK
11-04-2020,Item-03,Gula Pasir Putih 1 kg,2,12500,YK
12-04-2020,Item-03,Gula Pasir Putih 1 kg,2,12500,YK
13-04-2020,Item-03,Gula Pasir Putih 1 kg,3,12500,YK
13-04-2020,Item-03,Gula Pasir Putih 1 kg,3,12500,YK
13-04-2020,Item-03,Gula Pasir Putih 1 kg,3,12500,YK
12-04-2020,Item-11,Sabun Cuci Piring,3,14000,YK
13-04-2020,Item-13,Pisau Cukur,1,6500,YK
13-04-2020,Item-14,Teh Celup Melati,4,7800,YK
13-04-2020,Item-13,Pisau Cukur,1,6500,YK
13-04-2020,Item-14,Teh Celup Melati,4,7800,YK
13-04-2020,Item-14,Teh Celup Melati,5,7800,YK
13-04-2020,Item-14,Teh Celup Melati,10,7800,YK
13-04-2020,Item-14,Teh Celup Melati,7,7800,YK
13-04-2020,Item-14,Teh Celup Melati,5,7800,YK
13-04-2020,Item-11,Sabun Cuci Piring,2,14000,YK
14-04-2020,Item-03,Gula Pasir Putih 1 kg,2,12500,YK
13-04-2020,Item-11,Sabun Cuci Piring,2,14000,YK
13-04-2020,Item-13,Pisau Cukur,1,6500,YK
13-04-2020,Item-14,Teh Celup Melati,3,7800,YK
13-04-2020,Item-11,Sabun Cuci Piring,3,14000,YK
13-04-2020,Item-13,Pisau Cukur,1,6500,YK
14-04-2020,Item-03,Gula Pasir Putih 1 kg,1,12500,YK
13-04-2020,Item-11,Sabun Cuci Piring,2,14000,YK
13-04-2020,Item-14,Teh Celup Melati,1,7800,YK
13-04-2020,Item-11,Sabun Cuci Piring,3,14000,YK
13-04-2020,Item-13,Pisau Cukur,2,6500,YK
14-04-2020,Item-03,Gula Pasir Putih 1 kg,4,12500,YK
13-04-2020,Item-11,Sabun Cuci Piring,2,14000,YK
13-04-2020,Item-13,Pisau Cukur,3,6500,YK
13-04-2020,Item-14,Teh Celup Melati,3,7800,YK
14-04-2020,Item-03,Gula Pasir Putih 1 kg,2,12500,YK
14-04-2020,Item-14,Teh Celup Melati,4,7800,YK
14-04-2020,Item-14,Teh Celup Melati,1,7800,YK
20-04-2020,Item-03,Gula Pasir Putih 1 kg,2,12500,YK
20-04-2020,Item-03,Gula Pasir Putih 1 kg,1,12500,YK
14-04-2020,Item-14,Teh Celup Melati,1,7800,YK
21-04-2020,Item-03,Gula Pasir Putih 1 kg,1,12500,YK
21-04-2020,Item-03,Gula Pasir Putih 1 kg,2,12500,YK
14-04-2020,Item-14,Teh Celup Melati,1,7800,YK
